DOY,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8
207,0.661070463,0.698056755,0.690016715,0.737003227,0.652560472,0.68229262,0.685152854,0.743319483
208,0.661228055,0.695614809,0.687061128,0.733879964,0.652143657,0.679002961,0.681060365,0.738965812
209,0.661385647,0.693172864,0.684105541,0.7307567,0.651726842,0.675713301,0.676967876,0.734612141
210,0.661543239,0.690730918,0.681149954,0.727633437,0.651310027,0.672423641,0.672875387,0.73025847
211,0.661700831,0.688288972,0.678194367,0.724510173,0.650893211,0.669133981,0.668782898,0.7259048
212,0.661858422,0.685847027,0.67523878,0.721386909,0.650476396,0.665844321,0.664690409,0.721551129
213,0.662016014,0.683405081,0.672283192,0.718263646,0.650059581,0.662554661,0.66059792,0.717197458
214,0.662173606,0.680963136,0.669327605,0.715140382,0.649642766,0.659265002,0.656505431,0.712843787
215,0.662331198,0.67852119,0.666372018,0.712017119,0.64922595,0.655975342,0.652412942,0.708490116
216,0.66248879,0.676079245,0.663416431,0.708893855,0.648809135,0.652685682,0.648320454,0.704136445
217,0.662646382,0.673637299,0.660460844,0.705770592,0.64839232,0.649396022,0.644227965,0.699782775
218,0.662803973,0.671195354,0.657505257,0.702647328,0.647975504,0.646106362,0.640135476,0.695429104
219,0.662961565,0.668753408,0.65454967,0.699524065,0.647558689,0.642816703,0.636042987,0.691075433
220,0.663119157,0.666311463,0.651594083,0.696400801,0.647141874,0.639527043,0.631950498,0.686721762
221,0.663276749,0.663869517,0.648638495,0.693277538,0.646725059,0.636237383,0.627858009,0.682368091
222,0.663434341,0.661427572,0.645682908,0.690154274,0.646308243,0.632947723,0.62376552,0.67801442
223,0.663591933,0.658985626,0.642727321,0.687031011,0.645891428,0.629658063,0.619673031,0.673660749
224,0.663749525,0.656543681,0.639771734,0.683907747,0.645474613,0.626368403,0.615580542,0.669307079
225,0.663907116,0.654101735,0.636816147,0.680784484,0.645057797,0.623078744,0.611488053,0.664953408
226,0.664064708,0.65165979,0.63386056,0.67766122,0.644640982,0.619789084,0.607395564,0.660599737
227,0.6642223,0.649217844,0.630904973,0.674537957,0.644224167,0.616499424,0.603303075,0.656246066
228,0.664594019,0.649511435,0.630820198,0.674011528,0.644283283,0.617164829,0.603303613,0.656185706
229,0.664965737,0.649805026,0.630735424,0.6734851,0.6443424,0.617830233,0.60330415,0.656125345
230,0.665337456,0.650098617,0.63065065,0.672958672,0.644401516,0.618495638,0.603304688,0.656064985
231,0.665709175,0.650392208,0.630565875,0.672432244,0.644460632,0.619161043,0.603305226,0.656004624
232,0.666080893,0.650685799,0.630481101,0.671905816,0.644519749,0.619826447,0.603305763,0.655944264
233,0.666452612,0.65097939,0.630396327,0.671379387,0.644578865,0.620491852,0.603306301,0.655883903
234,0.666824331,0.65127298,0.630311553,0.670852959,0.644637982,0.621157257,0.603306839,0.655823543
235,0.667196049,0.651566571,0.630226778,0.670326531,0.644697098,0.621822662,0.603307377,0.655763182
236,0.667567768,0.651860162,0.630142004,0.669800103,0.644756214,0.622488066,0.603307914,0.655702822
237,0.667939487,0.652153753,0.63005723,0.669273674,0.644815331,0.623153471,0.603308452,0.655642461
238,0.668311205,0.652447344,0.629972455,0.668747246,0.644874447,0.623818876,0.60330899,0.655582101
239,0.668682924,0.652740935,0.629887681,0.668220818,0.644933564,0.62448428,0.603309527,0.65552174
240,0.669054643,0.653034526,0.629802907,0.66769439,0.64499268,0.625149685,0.603310065,0.65546138
241,0.669426361,0.653328117,0.629718132,0.667167962,0.645051796,0.62581509,0.603310603,0.655401019
242,0.66979808,0.653621708,0.629633358,0.666641533,0.645110913,0.626480494,0.60331114,0.655340659
243,0.670169799,0.653915299,0.629548584,0.666115105,0.645170029,0.627145899,0.603311678,0.655280298
244,0.670541517,0.65420889,0.62946381,0.665588677,0.645229146,0.627811304,0.603312216,0.655219938
245,0.670913236,0.654502481,0.629379035,0.665062249,0.645288262,0.628476708,0.603312754,0.655159577
246,0.671284955,0.654796072,0.629294261,0.66453582,0.645347378,0.629142113,0.603313291,0.655099217
247,0.671656673,0.655089662,0.629209487,0.664009392,0.645406495,0.629807518,0.603313829,0.655038856
248,0.672028392,0.655383253,0.629124712,0.663482964,0.645465611,0.630472923,0.603314367,0.654978496
249,0.672400111,0.655676844,0.629039938,0.662956536,0.645524728,0.631138327,0.603314904,0.654918135
250,0.672771829,0.655970435,0.628955164,0.662430108,0.645583844,0.631803732,0.603315442,0.654857775
251,0.673143548,0.656264026,0.62887039,0.661903679,0.64564296,0.632469137,0.60331598,0.654797415
252,0.673515267,0.656557617,0.628785615,0.661377251,0.645702077,0.633134541,0.603316518,0.654737054
253,0.673886985,0.656851208,0.628700841,0.660850823,0.645761193,0.633799946,0.603317055,0.654676694
254,0.674258704,0.657144799,0.628616067,0.660324395,0.64582031,0.634465351,0.603317593,0.654616333
255,0.674630423,0.65743839,0.628531292,0.659797966,0.645879426,0.635130755,0.603318131,0.654555973
256,0.675002141,0.657731981,0.628446518,0.659271538,0.645938542,0.63579616,0.603318668,0.654495612
257,0.67537386,0.658025572,0.628361744,0.65874511,0.645997659,0.636461565,0.603319206,0.654435252
258,0.675745579,0.658319163,0.62827697,0.658218682,0.646056775,0.63712697,0.603319744,0.654374891
259,0.676117297,0.658612753,0.628192195,0.657692254,0.646115891,0.637792374,0.603320282,0.654314531
260,0.676489016,0.658906344,0.628107421,0.657165825,0.646175008,0.638457779,0.603320819,0.65425417
261,0.676860735,0.659199935,0.628022647,0.656639397,0.646234124,0.639123184,0.603321357,0.65419381
262,0.677232453,0.659493526,0.627937872,0.656112969,0.646293241,0.639788588,0.603321895,0.654133449
263,0.677604172,0.659787117,0.627853098,0.655586541,0.646352357,0.640453993,0.603322432,0.654073089
264,0.67797589,0.660080708,0.627768324,0.655060112,0.646411473,0.641119398,0.60332297,0.654012728
265,0.678347609,0.660374299,0.627683549,0.654533684,0.64647059,0.641784802,0.603323508,0.653952368
266,0.678719328,0.66066789,0.627598775,0.654007256,0.646529706,0.642450207,0.603324046,0.653892007
267,0.679091046,0.660961481,0.627514001,0.653480828,0.646588823,0.643115612,0.603324583,0.653831647
268,0.679462765,0.661255072,0.627429227,0.6529544,0.646647939,0.643781016,0.603325121,0.653771286
269,0.679834484,0.661548663,0.627344452,0.652427971,0.646707055,0.644446421,0.603325659,0.653710926
270,0.680206202,0.661842254,0.627259678,0.651901543,0.646766172,0.645111826,0.603326196,0.653650565
271,0.680577921,0.662135845,0.627174904,0.651375115,0.646825288,0.645777231,0.603326734,0.653590205
272,0.68094964,0.662429435,0.627090129,0.650848687,0.646884405,0.646442635,0.603327272,0.653529844
273,0.681321358,0.662723026,0.627005355,0.650322258,0.646943521,0.64710804,0.603327809,0.653469484
274,0.681693077,0.663016617,0.626920581,0.64979583,0.647002637,0.647773445,0.603328347,0.653409123
