DOY,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8
261,1.929053093,1.878719816,1.789864543,1.871422282,1.841767254,1.821501073,1.719465867,1.864452358
262,2.255184069,2.196113442,2.091033115,2.184856187,2.152156491,2.130495999,2.009061909,2.178264386
263,3.631958361,3.536458948,3.365292606,3.513943858,3.464448634,3.432833403,3.233808238,3.505831756
264,3.057671266,2.976963993,2.83123514,2.954321107,2.915315745,2.891448484,2.720986595,2.949597404
265,2.381000108,2.31791379,2.203169259,2.297413232,2.26911177,2.252664656,2.117665512,2.295372811
266,3.536127698,3.442079707,3.269789619,3.407377804,3.368419769,3.347165579,3.143318277,3.406777358
267,3.476946158,3.384122782,3.212871685,3.345821838,3.310534772,3.292751932,3.089021866,3.347618032
268,4.029214197,3.921242576,3.720655314,3.87201959,3.834622278,3.817621428,3.577717967,3.876863728
269,3.609921109,3.512823399,3.331199042,3.464392528,3.434014464,3.422010496,3.203659247,3.471205016
270,2.992907291,2.912105916,2.759942583,2.86836679,2.845771156,2.838492034,2.654635264,2.876062488
271,2.388828503,2.324096814,2.201383912,2.286326653,2.270356762,2.266678079,2.117676837,2.294101619
272,2.77827453,2.702712097,2.558527728,2.655462642,2.639288371,2.637485952,2.461575269,2.666401765
273,2.875176133,2.796691171,2.645962599,2.744359931,2.730101659,2.730795929,2.546043356,2.757641222
274,2.788124685,2.711737965,2.564105176,2.657664946,2.646240787,2.649393389,2.46761294,2.672443315
